Depmap ID,Expression Public 22Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000537,0,SNU761,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000538,0.176322773,HUTU80,Small Bowel Cancer,Bowel,Small Bowel Cancer
ACH-000539,0.111031312,HS618T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000540,1.124328135,HS606T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000541,0.124328135,KMS34,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000542,2.809414444,HEYA8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000543,0.321928095,SNU489,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000544,0.028569152,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000545,0.028569152,VMCUB1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000546,0.070389328,HSC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000547,1.580145484,HT1197,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000548,0.176322773,BHY,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000549,0,SNU1076,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000550,0.748461233,IGR39,Melanoma,Skin,Melanoma
ACH-000551,0.189033824,K562,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000552,0.028569152,HT29,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000553,0,SQ1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000554,0,UACC893,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000555,0.86393845,A498,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000556,0,SIHA,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma
ACH-000557,1,AML193,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000558,0.687060688,A172,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000559,0.097610797,NCIH1836,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000507,0,KE39,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000561,0.014355293,TDOTT,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000562,0.014355293,HCC78,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000563,0,EBC1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000564,0,KHM1B,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000565,0.111031312,RCM1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000566,0.014355293,SW1710,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000567,0.014355293,ST486,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000568,0,UACC812,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000569,0.111031312,ISTMES1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000570,0.014355293,YKG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000571,0.124328135,T98G,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000572,4.217230716,G361,Melanoma,Skin,Melanoma
ACH-000573,0.286881148,MDAMB436,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000574,1.855989697,FUOV1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000575,1.070389328,HCC364,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000576,3.608809243,KMS27,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000577,0.545968369,JHH2,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000578,0.344828497,HCC1171,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000579,4.593951284,UACC257,Melanoma,Skin,Melanoma
ACH-000580,3.40053793,C32,Melanoma,Skin,Melanoma
ACH-000255,0.23878686,LMSU,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000582,3.533563348,COLO741,Melanoma,Skin,Melanoma
ACH-000583,0,MC116,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000584,0.056583528,JHOS4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000585,0,EPLC272H,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000586,0.970853654,NCIH1876,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000587,0,NCIH1975,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000588,0.286881148,KMS26,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000589,0,NCIH1437,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000590,0.124328135,NCIH2073,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000591,0.097610797,LN235,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000592,0.137503524,TM31,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000593,0.367371066,BC3C,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000594,1.933572638,DMS153,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000595,3.234194723,LN229,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000596,0,LCLC97TM1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000597,0,TTC709,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000598,0.014355293,KMS21BM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000599,0.333423734,PATU8902,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000600,0.275007047,SLR26,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000601,0,MIAPACA2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000602,0.070389328,M07E,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000603,0.084064265,BEN,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000604,0.084064265,KYO1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000605,0,TE6,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000606,0,PECAPJ34CLONEC12,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000607,0.014355293,KYM1,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000608,0.014355293,COV644,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000609,0.250961574,SF126,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000610,3.361768359,NCIH2227,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000611,0.137503524,SUDHL6,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000612,0.124328135,HUT102,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000613,0.40053793,HOS,Osteosarcoma,Bone,Osteosarcoma
ACH-000614,4.996840648,RVH421,Melanoma,Skin,Melanoma
ACH-000615,3.187451054,SKMEL28,Melanoma,Skin,Melanoma
ACH-000351,0.275007047,MKN1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000617,1.007195501,OVCAR4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000618,0.097610797,SNU1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000619,0.014355293,PECAPJ15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000620,0,JHH1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000621,1.150559677,MDAMB157,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000622,2.070389328,KNS42,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000623,0.111031312,SNU201,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000624,0.028569152,HCC1806,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000625,0.070389328,HEP3B217,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000626,0.014355293,U266B1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000627,1.021479727,LCLC103H,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000628,2.411426246,NCIH596,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000629,0.163498732,IOMMLEE,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-000630,0,YD8,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000631,0,KS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000632,2.577730931,HS944T,Melanoma,Skin,Melanoma
ACH-000356,0.163498732,MKN45,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000634,0.40053793,LN340,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000635,0.201633861,SNU119,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000636,0.321928095,RPMI8402,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000637,0.669026766,KYSE520,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000638,0,NCIH441,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000639,2.548436625,NCIH211,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000640,0.201633861,SKMEL31,Melanoma,Skin,Melanoma
ACH-000641,0.731183242,CMK,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000642,0.042644337,HMEL,Non-Cancerous,Breast,Non-Cancerous
ACH-000643,0.042644337,HDQP1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000644,2.811471031,COLO829,Melanoma,Skin,Melanoma
ACH-000645,0,JL1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000646,0,OVMANA,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000647,0.070389328,TE1,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000648,0.028569152,NCIH28,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000649,0.189033824,786O,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000650,4.977279923,IGR37,Melanoma,Skin,Melanoma
ACH-000651,0,SW620,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000652,0.014355293,SUIT2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000653,0,JJN3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000654,0,RAJI,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000655,1.361768359,SF268,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000656,0.097610797,SUDHL8,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000657,0.056583528,A2780,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000659,1.5360529,SCLC21H,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000660,0,SUDHL5,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000661,2.060047384,WM1799,Melanoma,Skin,Melanoma
ACH-000662,0.014355293,CORL23,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000663,0.678071905,OVTOKO,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000664,0,SUDHL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000665,0.163498732,SKMES1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000666,0.124328135,NCIH1355,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000667,0,HCC44,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000668,0,HCC70,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000669,1.438292852,SW900,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000670,1.280956314,SBC5,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000671,0.555816155,HUH6,Hepatoblastoma,Liver,Hepatoblastoma
ACH-000672,0.454175893,IALM,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000673,0.622930351,LN443,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000678,0.084064265,MKN7,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000675,1.541019153,NCIH1734,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000676,2.386810946,LN464,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000677,0.584962501,SW1573,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000758,0,MKN74,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000679,1.09085343,OE19,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000680,0,SW948,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000681,0.50589093,A549,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000682,0.704871964,SNU1066,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000683,0.137503524,SNU503,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000684,0.201633861,KMRC1,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000685,0.056583528,L33,Adenosquamous Carcinoma of the Pancreas,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000686,1.944858446,SNU878,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000687,0.028569152,CI1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000688,0.176322773,OV7,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000689,0.799087306,RH18,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000690,0.097610797,HCC2814,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000691,0.263034406,HCC2157,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000692,0,SNU899,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000693,0.056583528,KYSE180,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000694,0.014355293,TE9,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000695,1.541019153,CORL47,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000696,0.86393845,OVCAR8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000697,0,A3KAW,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000698,1.992768431,DMS53,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000699,0.214124805,HCC1395,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000700,0.042644337,NCIH2882,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000701,0.042644337,RMUGS,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000702,0,L1236,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000703,0.163498732,DMS79,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000704,0.014355293,OAW42,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000705,0.695993813,LC1F,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000706,0.35614381,EKVX,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000707,0.137503524,P3HR1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000708,0.042644337,SNU283,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000709,0,KMRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000710,2.541019153,NCIH854,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000711,0,JIMT1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000712,0.201633861,HCC1833,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000713,1.09085343,CAOV3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000714,0.632268215,KMS11,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000715,0.028569152,SNU1214,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000716,1.007195501,TT2609C02,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000717,0,COLO680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000718,0.748461233,NCIH2291,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000719,0,RMGI,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000720,3.371558863,TCCSUP,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000721,0.042644337,HMC18,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000722,0,SNUC1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000723,0,YD10B,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000724,0,HT1376,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000725,0,HCC202,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000726,0,TE14,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000728,1.495695163,KASUMI2,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000729,1.739848103,NCIH1963,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000730,3.974529312,SKMEL5,Melanoma,Skin,Melanoma
ACH-000731,1.344828497,HCC2279,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000732,0.042644337,PECAPJ41CLONED2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000733,0,NCIH1838,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000734,0,JHH5,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000735,0,PECAPJ49,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000110,3.026800059,NCCSTCK140,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000737,0.35614381,NCIH1385,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000738,0,GB1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000739,0.042644337,HEPG2,Hepatoblastoma,Liver,Hepatoblastoma
ACH-000740,0,A253,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000741,1.007195501,UBLC1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000742,0.014355293,DM3,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000743,1.310340121,CORL95,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000744,0,NCIH1623,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000745,0,MOLP8,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000427,0.310340121,NCIN87,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000747,0.097610797,NCIH1703,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000748,1.687060688,SJSA1,Osteosarcoma,Bone,Osteosarcoma
ACH-000749,1.480265122,DMS273,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000750,0.90303827,LOXIMVI,Melanoma,Skin,Melanoma
ACH-000751,0.604071324,OCIM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000752,0.475084883,NCIH196,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000753,1.526068812,JMSU1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000754,0,L428,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000755,0.014355293,HCC2218,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000756,2.49057013,GI1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000757,0,A427,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000761,0.298658316,NUGC2,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000759,0.344828497,MDAMB175VII,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000760,0.014355293,LNZ308,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000911,1.298658316,NUGC3,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000762,0.014355293,YD38,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000763,0.014355293,MM1S,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000674,0.014355293,NUGC4,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000765,1.944858446,WM983B,Melanoma,Skin,Melanoma
ACH-000766,0.014355293,NCIH1648,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000767,3.517275693,NCIH526,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000768,0.070389328,MDAMB231,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000769,1.82374936,LK2,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000770,2.140778656,P31FUJ,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000771,0,BICR56,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000772,0.014355293,TE441T,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000773,0.014355293,KIJK,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000774,0.042644337,RERFLCAD2,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000775,0.298658316,NCIH727,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000776,1.028569152,ONS76,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000777,0.163498732,KYSE30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000778,0.014355293,HSC3,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000779,0,PC9,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000780,0.871843649,NCIH1105,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000781,0.695993813,NCIH2023,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000782,1.304511042,SEM,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000783,0,CAMA1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000784,0.014355293,KYSE70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000785,0,NCIH2126,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000786,0.333423734,DAUDI,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000787,0.933572638,LXF289,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000788,3.17951105,A2058,Melanoma,Skin,Melanoma
ACH-000789,0.516015147,NCIH810,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000790,0.014355293,SHP77,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000791,0.201633861,RERFLCAD1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000792,0.250961574,BFTC909,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-001368,0.604071324,OACM51,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000794,0,BICR22,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000796,0.464668267,MCAS,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000797,0.042644337,HLFA,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000798,0.275007047,CL40,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
